"filename", "language", "Markdown", "XML", "C++", "Ini", "C", "comment", "blank", "total"
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\Action.h", "C++", 0, 0, 15, 0, 0, 9, 12, 36
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionAddEllipse.cpp", "C++", 0, 0, 34, 0, 0, 6, 16, 56
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionAddEllipse.h", "C++", 0, 0, 12, 0, 0, 2, 8, 22
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionAddHexagon.cpp", "C++", 0, 0, 48, 0, 0, 7, 9, 64
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionAddHexagon.h", "C++", 0, 0, 13, 0, 0, 2, 7, 22
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionAddSquare.cpp", "C++", 0, 0, 36, 0, 0, 13, 21, 70
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionAddSquare.h", "C++", 0, 0, 11, 0, 0, 4, 6, 21
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionBringToFront.cpp", "C++", 0, 0, 18, 0, 0, 0, 6, 24
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionBringToFront.h", "C++", 0, 0, 12, 0, 0, 0, 8, 20
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionBringToFront1.h", "C++", 0, 0, 12, 0, 0, 0, 7, 19
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionLoad.cpp", "C++", 0, 0, 69, 0, 0, 8, 18, 95
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionLoad.h", "C++", 0, 0, 13, 0, 0, 0, 5, 18
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionLoadGame.cpp", "C++", 0, 0, 67, 0, 0, 9, 19, 95
